"항목","행정구역(동읍면)별",2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12
"항목","행정구역(동읍면)별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"총인구수 (명)","서울특별시 > 강동구 > 성내제3동",21539,372,457,587,759,1105,1780,1922,1451,1483,1593,1740,1846,1745,1646,1218,888,571,275,77,22,2
"총인구수 (명)","서울특별시 > 강동구 > 길동",48199,1108,1019,1266,1478,2148,4300,4805,3649,3484,3330,3634,3795,3790,3902,2735,1879,1107,507,198,58,7
"총인구수 (명)","서울특별시 > 강동구 > 둔촌제1동",32743,1657,1785,1940,1292,1168,1484,2743,3043,3551,2856,2152,2158,2112,2082,1489,744,278,120,66,19,4
"총인구수 (명)","서울특별시 > 강동구 > 둔촌제2동",25192,797,732,953,921,1142,1749,2151,1943,1911,1777,1872,2028,1967,1943,1457,900,532,271,118,27,1
"총인구수 (명)","경기도 > 성남시 > 수정구",232389,5925,6772,7725,8232,11269,16716,19010,16532,17230,16596,18667,19533,19158,18123,12454,8765,5591,2839,991,234,27
"총인구수 (명)","경기도 > 성남시 > 수정구 > 신흥1동",12046,101,139,248,322,517,900,947,677,753,827,1111,1176,1203,1200,787,541,340,187,59,10,1
"총인구수 (명)","경기도 > 성남시 > 수정구 > 신흥2동",31635,1621,1410,1078,1122,1353,1760,2766,3165,2872,2222,2294,2450,2316,2078,1414,859,498,246,83,24,4
"총인구수 (명)","경기도 > 성남시 > 수정구 > 신흥3동",10670,122,143,198,285,486,846,919,609,677,716,989,1032,1064,982,609,462,328,147,41,14,1
"총인구수 (명)","경기도 > 성남시 > 수정구 > 태평1동",13522,133,140,211,337,941,1296,1128,746,765,824,1030,1177,1217,1177,868,722,475,246,73,15,1
"총인구수 (명)","경기도 > 성남시 > 수정구 > 태평2동",13628,186,212,326,427,686,1108,1150,823,819,861,1153,1273,1248,1158,803,635,434,218,86,20,2
"총인구수 (명)","경기도 > 성남시 > 수정구 > 태평3동",11585,130,178,295,375,530,802,836,622,692,760,986,1182,1171,1145,739,569,329,187,45,11,1
"총인구수 (명)","경기도 > 성남시 > 수정구 > 태평4동",10906,127,174,328,437,574,890,865,550,621,740,994,1008,961,907,627,475,356,180,78,13,1
"총인구수 (명)","경기도 > 성남시 > 수정구 > 수진1동",10775,77,105,192,247,394,788,758,561,570,636,921,1127,1220,1169,843,549,378,165,66,6,3
"총인구수 (명)","경기도 > 성남시 > 수정구 > 수진2동",14334,185,241,346,442,645,1127,1083,760,815,943,1088,1262,1430,1407,968,783,480,243,70,14,2
"총인구수 (명)","경기도 > 성남시 > 수정구 > 단대동",14162,295,336,497,555,642,961,1016,892,987,997,1157,1285,1245,1151,824,613,403,220,64,21,1
"총인구수 (명)","경기도 > 성남시 > 수정구 > 산성동",4421,56,110,142,191,204,298,304,221,281,317,406,366,400,371,274,230,150,76,20,3,1
